page,title,tuneid,popularity,Number
18,Soldier’s Joy,1356,584,174
18,The Trip To Pakistan,112,581,175
18,The Ships In Full Sail,261,578,176
18,The Fairy Dance,424,577,177
18,Hardiman The Fiddler,48,575,178
18,Dr. Gilbert’s,129,572,179
19,The Banks Of Lough Gowna,775,571,180
19,The Virginia,812,569,181
19,The Cat’s Meow,342,568,182
19,The Lads Of Laois,58,566,183
19,George White’s Favorite,718,566,184
19,The Road To Lisdoonvarna,249,564,185
19,The Reconciliation,1977,563,186
19,Dick Gossip’s,408,559,187
19,The Cock And The Hen,93,558,188
19,Scatter The Mud,728,555,189
20,Lucy Campbell’s,1552,555,190
20,Behind The Haystack,358,550,191
20,The Mug Of Brown Ale,888,550,192
20,The Black Rogue,1076,550,193
20,The Moving Cloud,1091,548,194
20,After The Battle Of Aughrim,1308,546,195
20,Bill Sullivan’s,481,544,196
20,Maudabawn Chapel,302,541,197
20,Father O’Flynn,1080,540,198
20,The Killarney Boys Of Pleasure,733,538,199
21,The Mouth Of The Tobique,423,534,200
21,The Flogging,195,531,201
21,The Bank Of Ireland,320,529,202
21,The Leitrim Fancy,467,529,203
21,Cronin’s,478,528,204
21,The Coleraine,17,522,205
21,Smash The Windows,101,522,206
21,The Lochaber Badger,5758,520,207
21,The Hag With The Money,351,517,208
21,The Rolling Waves,515,515,209
22,The Galway Rambler,634,514,210
22,The Green Mountain,166,513,211
22,The Clumsy Lover,16,510,212
22,The Trip To Sligo,397,507,213
22,Last Night’s Fun,63,505,214
22,The Devil’s Dream,259,503,215
22,Speed The Plough,901,499,216
22,The Hunter’s House,472,498,217
22,Langstrom’s Pony,61,497,218
22,Fred Finn’s,452,496,219
23,The New Copperplate,887,490,220
23,The Dawning Of The Day,1441,490,221
23,Beare Island,696,487,222
23,The Dublin,384,486,223
23,The Star Above The Garter,1398,484,224
23,The Castle,273,482,225
23,Lord Mayo,638,482,226
23,The Dark Island,4906,481,227
23,The Green Fields Of Rossbeigh,322,479,228
23,The White Petticoat,332,479,229
24,The Scholar,94,478,230
24,The Killavil,667,478,231
24,The Green Groves Of Erin,41,476,232
24,Rolling In The Barrel,500,476,233
24,Good Morning To Your Nightcap,513,476,234
24,The Carraroe,771,476,235
24,Paddy Fahey’s,150,475,236
24,The Ballydesmond,239,475,237
24,The Boys Of The Lough,343,475,238
24,The Mooncoin,206,472,239
25,The Gold Ring,37,469,240
25,Fisher’s,872,468,241
25,Bonaparte Crossing The Rhine,7,467,242
25,Denis Murphy’s,159,466,243
25,Coppers And Brass,228,466,244
25,Give Us A Drink Of Water,635,462,245
25,The Longford Collector,563,459,246
25,The Boyne Hunt,142,458,247
25,Stan Chapman’s,324,458,248
25,The Galway,38,454,249
26,The Cook In The Kitchen,808,452,250
26,The Humours Of Whiskey,46,451,251
26,Master Crowley’s,281,450,252
26,The Bag Of Spuds,579,450,253
26,Whelan’s,1447,450,254
26,Tatter Jack Walsh,1638,449,255
26,O’Sullivan’s March,2204,447,256
26,Come West Along The Road,474,446,257
26,The Humours Of Tullycrine,980,445,258
26,The Dingle Regatta,23,443,259
27,The Roscommon,637,442,260
27,Martin Wynne’s,359,441,261
27,The Reel Of Rio,575,438,262
27,The Belfast,4,437,263
27,Lanigan’s Ball,264,437,264
27,The High Road To Linton,1118,437,265
27,Jackie Coleman’s,50,432,266
27,Kitty’s Wedding,869,431,267
27,Paddy Ryan’s Dream,79,430,268
27,The Hunter’s Purse,283,430,269
28,Farrel O’Gara’s,234,429,270
28,The Crooked Road To Dublin,227,428,271
28,The Broken Pledge,1423,427,272
28,Drag Her Round The Road,1148,426,273
28,The Gander In The Pratie Hole,401,424,274
28,Music In The Glen,303,423,275
28,Da New Rigged Ship,880,423,276
28,Sweeny’s Buttermilk,556,421,277
28,The Blackberry Blossom,1365,414,278
28,Tuttle’s,528,413,279
29,Maggie’s Pancakes,1316,413,280
29,The Curlew,174,412,281
29,Jenny’s Welcome To Charlie,370,410,282
29,The Primrose Lasses,789,409,283
29,The Blackbird,1104,409,284
29,Far From Home,1164,408,285
29,Bonnie Kate,754,406,286
29,Farewell To Ireland,4403,406,287
29,Lady Anne Montgomery,59,404,288
29,Within A Mile Of Dublin,125,403,289
30,The Plains Of Boyle,652,403,290
30,I’ll Tell Me Ma,2434,403,291
30,Seán Sa Cheo,177,401,292
30,The Walls Of Liscarrol,232,401,293
30,Jenny Dang The Weaver,380,399,294
30,Devanny’s Goat,2881,395,295
30,The Providence,376,394,296
30,Down The Broom,514,394,297
30,Rip The Calico,719,392,298
30,Paddy O’Rafferty,741,392,299
31,Spórt,870,392,300
31,Pressed For Time,2589,392,301
31,The Bag Of Spuds,391,391,302
31,The Peeler’s Jacket,1343,390,303
31,The Haunted House,1098,389,304
31,Carolan’s Draught,1421,389,305
31,The Porthole Of The Kelp,263,388,306
31,Farewell To Chernobyl,767,388,307
31,The Butlers Of Glen Avenue,820,388,308
31,The College Groves,1272,387,309
32,Reel Beatrice,483,386,310
32,The Trip To Athlone,1301,386,311
32,Off She Goes,1133,385,312
32,Pachelbel’s Frolics,487,383,313
32,Up Sligo,537,383,314
32,Sonny’s,5476,383,315
32,The Contradiction,196,382,316
32,Paddy Fahey’s,463,382,317
32,The Chicago,840,382,318
32,Martin Wynne’s,347,381,319
33,The Jolly Tinker,1754,375,320
33,Midnight On The Water,5020,375,321
33,The Lonesome Boatman,6195,375,322
33,The Monaghan Twig,1070,374,323
33,Staten Island,1285,374,324
33,Elizabeth Kelly’s Delight,953,373,325
33,The Laurel Tree,883,372,326
33,Colonel Fraser’s,1209,372,327
33,The Red-haired Lass,1716,372,328
33,Niel Gow’s Lament For His Second Wife,1892,372,329
34,The Holly Bush,1566,371,330
34,Dowd’s Favourite,229,367,331
34,The Tap Room,711,367,332
34,Ramnee Ceilidh,2639,367,333
34,The Eavesdropper,389,366,334
34,The Old Maids Of Galway,976,366,335
34,Tell Her I Am,161,365,336
34,Lad O’Beirne’s,406,363,337
34,Dinny Delaney’s,185,362,338
34,The Flowers Of Red Hill,442,361,339
35,The Cameronian,284,361,340
35,Ievan’s Polkka,418,360,341
35,The Donegal,1621,360,342
35,The High Drive,4428,358,343
35,The Boys Of Ballisodare,535,356,344
35,Munster Buttermilk,1077,355,345
35,Da Slockit Light,1863,355,346
35,I Buried My Wife And Danced On Her Grave,381,354,347
35,The Drunken Sailor’s,553,354,348
35,The Guns Of The Magnificent Seven,40,353,349
36,The Humours Of Lissadell,649,353,350
36,March Of The Kings Of Laois,835,353,351
36,Christy Barry’s,843,353,352
36,King Of The Pipers,54,351,353
36,Na Ceannabhain Bhana,612,351,354
36,The Templehouse,827,351,355
36,Planxty Hewlett,1468,351,356
36,Tom Billy’s,816,350,357
36,Pull The Knife And Stick It Again,398,349,358
36,Dever The Dancer,148,348,359
37,The Rainy Day,1807,348,360
37,Splendid Isolation,200,347,361
37,The Miller’s Maggot,333,347,362
37,The Lark In The Morning,1578,347,363
37,Londonderry Air,6867,347,364
